Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
53,Josh Minott,21,MIN,SF,32,0,91,20.4,0.593,0.278,0.389,5.2,15.5,10.6,13.2,2.7,4.9,4.5,21.4,0.2,0.2,0.4,0.222,1.8,3.3,5.1,0.2,
54,Maxwell Lewis,21,LAL,SF,34,0,103,-3.9,0.246,0.429,0.143,2.3,2.1,2.2,6.8,0.9,0.8,30.9,13.6,-0.5,0,-0.4,-0.195,-10.3,-3.2,-13.5,-0.3,
55,Gui Santos,21,GSW,PF,23,0,192,15.6,0.656,0.491,0.309,9.7,17.7,13.8,9.6,1,0.9,10.1,15.2,0.5,0.2,0.7,0.169,0,-0.5,-0.5,0.1,
56,Colby Jones,21,SAC,SG,30,0,192,8.9,0.422,0.31,0.155,9.7,13.7,11.7,13.9,1.8,2.4,11.6,19.1,-0.2,0.2,0,0.007,-5.4,0.4,-5,-0.1,
57,Kenneth Lofton Jr.,21,3TM,PF,21,0,199,14.7,0.537,0.308,0.333,6.6,14.6,10.5,25.7,1.5,2.3,13.5,22.1,0.1,0.2,0.3,0.068,-0.6,0.3,-0.3,0.1,
58,Ibou Badji,21,POR,C,22,1,226,8.1,0.623,0,0.545,9.4,16.3,12.6,7.7,0.7,8,35.5,8,0,0.2,0.2,0.046,-7.7,1.9,-5.8,-0.2,
59,Olivier-Maxence Prosper,21,DAL,PF,40,1,336,11.6,0.496,0.433,0.394,8.2,17.5,12.8,8.4,1,1,6.2,16.6,0.2,0.3,0.5,0.076,-1.7,-1.3,-2.9,-0.1,
60,Patrick Baldwin Jr.,21,WAS,SF,38,7,493,9.7,0.502,0.626,0.181,3.6,23.5,13.3,7.6,1.7,2.5,10.2,15.9,-0.3,0.5,0.2,0.019,-4,-0.6,-4.6,-0.3,
61,Jaden Springer,21,2TM,SG,49,2,507,10.7,0.49,0.324,0.284,7.1,9.8,8.4,11.5,3.5,2.7,17,17.1,-0.3,0.8,0.6,0.052,-4.9,1.5,-3.4,-0.2,
62,Julian Strawther,21,DEN,SF,50,0,545,8.2,0.482,0.622,0.14,1,11.1,6.2,11.3,1.5,1.1,8.9,20.7,-0.4,0.6,0.2,0.015,-4.6,-1.4,-6,-0.6,
63,Johnny Davis,21,WAS,SG,50,6,613,6.2,0.462,0.26,0.156,3.1,9.6,6.3,6.6,1.4,1.3,7.3,12.2,-0.3,0.2,-0.1,-0.009,-5.5,-1.1,-6.6,-0.7,
64,Dalen Terry,21,CHI,SG,59,2,681,10.2,0.512,0.471,0.274,4.7,14.1,9.3,15.6,2,2.7,15.4,13.4,0.1,0.7,0.8,0.06,-3.4,1.1,-2.3,0,
65,JT Thor,21,CHO,PF,63,3,781,9.1,0.519,0.443,0.109,6,15.3,10.5,5.1,0.7,3.2,7.3,11.7,0.2,0.3,0.6,0.034,-3.5,-1.1,-4.5,-0.5,
66,Caleb Houstan,21,ORL,SF,59,13,815,8.3,0.582,0.937,0.126,4,8.1,6.1,4.8,0.9,0.5,6.9,12.5,0.7,0.8,1.5,0.089,-1.4,-0.5,-1.9,0,
67,Bryce McGowens,21,CHO,SG,59,14,882,9.3,0.565,0.443,0.37,2.1,11.2,6.5,8.1,1.2,1.1,10.1,14.9,0.4,0.3,0.6,0.034,-3.7,-1.1,-4.9,-0.6,
68,Jaylin Williams,21,OKC,C,69,1,897,12.7,0.561,0.632,0.18,4.7,23.7,14.5,15,1.5,2.8,12.1,13.5,1,1.5,2.4,0.13,-0.8,1.9,1.1,0.7,
69,Jaden Hardy,21,DAL,SG,73,7,989,11.2,0.517,0.468,0.159,2.2,12.2,7.2,15.7,1.1,0.4,10.8,24.9,-0.4,0.7,0.3,0.014,-2,-2.1,-4.1,-0.5,
70,Moses Moody,21,GSW,SG,66,9,1156,13.7,0.578,0.476,0.221,6.2,12.1,9.2,6.7,1.8,1.9,8.7,18.4,1.2,1.2,2.4,0.101,-0.2,0.1,-0.1,0.6,
71,Jordan Hawkins,21,NOP,SG,67,10,1160,10.2,0.533,0.654,0.175,2.8,11.3,7.1,8.2,0.8,0.6,7.5,19.9,0.3,1,1.3,0.053,-1.3,-1.7,-3.1,-0.3,
72,Amen Thompson,21,HOU,SF,62,23,1388,18.2,0.576,0.13,0.348,11.3,20.4,15.8,17,2.7,2.5,14.9,18.5,1.9,2.4,4.3,0.149,-0.1,1.9,1.8,1.3,
73,Peyton Watson,21,DEN,SF,80,4,1488,11.8,0.539,0.34,0.237,4.3,14.6,9.6,7.4,1.4,5,10.5,16.2,0.3,2.2,2.5,0.079,-3,0.8,-2.2,-0.1,
74,Bennedict Mathurin,21,IND,SF,59,19,1538,13,0.562,0.323,0.338,4.4,12.8,8.6,9.8,1.1,0.7,11.3,23.4,0.8,0.7,1.4,0.045,-1.2,-2.3,-3.4,-0.6,
75,Ausar Thompson,21,DET,SF,63,38,1583,12.8,0.522,0.235,0.248,8.9,19.6,14.2,10.8,2.1,3.2,13.6,16.6,0.1,1.7,1.8,0.053,-2.8,0.6,-2.2,-0.1,
76,Jabari Walker,21,POR,SF,72,23,1700,13,0.546,0.273,0.336,9.4,25,16.7,6.2,1.2,1.2,10.2,16.3,1.4,1.6,2.9,0.083,-2.4,-0.9,-3.3,-0.6,
77,Jonathan Kuminga,21,GSW,PF,74,46,1949,17,0.598,0.191,0.347,5.2,14.4,9.8,12.5,1.4,1.7,10.9,24.1,2.7,1.9,4.6,0.113,0,-0.4,-0.4,0.8,
78,Josh Giddey,21,OKC,SG,80,80,2011,16.6,0.547,0.287,0.146,6.4,21.5,14.2,26.6,1.2,2,15.7,23.1,1.4,2.9,4.3,0.102,1,0.4,1.5,1.8,
79,Alperen ?engün,21,HOU,C,63,63,2046,22,0.585,0.113,0.358,9.5,21.5,15.4,25.2,1.8,2.1,12.5,27,3.8,3.1,6.9,0.163,3.1,1.7,4.9,3.5,
80,Jaden Ivey,21,DET,SG,77,61,2217,12.4,0.536,0.379,0.311,4.3,9.1,6.6,20.2,1.2,1.6,14.7,24.9,-0.5,1,0.5,0.01,-1.4,-1.7,-3.1,-0.6,
81,Brandon Miller,21,CHO,SF,74,68,2383,13,0.552,0.455,0.16,2.7,12.4,7.4,11.6,1.4,1.6,10.2,23.9,-0.3,1,0.8,0.015,-0.9,-1.6,-2.6,-0.3,ROY-3
82,Chet Holmgren,21,OKC,C,82,82,2413,20.4,0.632,0.366,0.289,6.2,23.1,15,11.6,1.1,7.3,10.9,21.6,4.6,4.4,8.9,0.178,1.8,1.5,3.4,3.3,ROY-2
83,Jalen Green,21,HOU,SG,82,82,2601,14.7,0.541,0.454,0.264,1.7,15.9,8.7,17.3,1.2,1,11.4,27.4,0.2,2.9,3.1,0.056,0.4,-0.9,-0.5,1,
84,Paolo Banchero,21,ORL,PF,80,80,2799,17.3,0.546,0.249,0.397,3.4,20,11.6,25.2,1.3,1.6,13,29.7,1.3,4,5.3,0.09,1.3,0,1.3,2.3,AS
85,Malcolm Cazalon,22,DET,SG,1,0,3,0,,,,0,0,0,0,0,0,,0,0,0,0,-0.012,-6,-3.2,-9.1,0,
86,Greg Brown III,22,DAL,PF,6,0,40,10.5,0.501,0.273,0.818,8.2,16.3,12.3,13,0,8.8,21.1,20.3,0,0,0,0,-5,0.6,-4.4,0,
87,TyTy Washington Jr.,22,MIL,PG,11,0,56,4.6,0.35,0.3,0,2,7.7,4.9,11.4,2.6,0,9.1,17,-0.1,0.1,-0.1,-0.072,-7.1,-1,-8.2,-0.1,
88,Moussa Diabaté,22,LAC,C,11,0,64,24.7,0.576,0,0.737,27.4,15.4,21.2,8.6,3.9,1.4,7.4,18.6,0.2,0.1,0.3,0.25,4,-0.5,3.5,0.1,
89,Wendell Moore Jr.,22,MIN,SG,25,0,75,8.6,0.5,0.333,0,0,17.4,9.1,10.9,3.3,1.2,18.2,13,-0.1,0.2,0.1,0.052,-6.1,3.3,-2.8,0,
90,R.J. Hampton,22,MIA,PG,8,2,76,0.9,0.336,0.571,0.143,3,6,4.5,13.6,0,0,16.8,10.5,-0.1,0,-0.1,-0.038,-8.1,-1.4,-9.5,-0.1,
91,Jahmi'us Ramsey,22,TOR,SG,7,1,121,10.6,0.538,0.537,0.146,3.6,16.7,10,9.1,2.8,0,13.8,17.9,-0.1,0.1,0.1,0.021,-3.9,-0.5,-4.4,-0.1,
92,Théo Maledon,22,2TM,PG,17,1,213,3.2,0.385,0.429,0.214,2,10.8,6.3,17.8,1.6,0,19,19.6,-0.6,0.1,-0.5,-0.122,-8.3,-2.1,-10.3,-0.5,
93,Justin Champagnie,22,WAS,SF,15,1,235,13.6,0.526,0.577,0.192,8.5,15.8,12.1,10.7,2,3.1,10.6,17,0.1,0.2,0.3,0.058,-1.1,-0.8,-1.8,0,
94,Kira Lewis Jr.,22,3TM,PG,28,0,265,8.6,0.441,0.359,0.217,3.8,7,5.4,18.8,1.7,0.7,12.2,18.5,-0.2,0.2,0,-0.005,-4.4,-1.4,-5.8,-0.3,
95,Ricky Council IV,22,PHI,SG,32,0,289,18.6,0.604,0.286,0.634,5.3,12.4,8.8,8.2,1.4,0.3,3.4,22.1,0.8,0.3,1,0.173,2.1,-0.8,1.3,0.2,
96,Brandon Boston Jr.,22,LAC,SF,32,0,345,8.7,0.476,0.323,0.205,6.4,10.4,8.5,5.4,1.6,2.1,12,25.4,-0.6,0.3,-0.3,-0.04,-6.2,-2.7,-9,-0.6,
97,Tosan Evbuomwan,22,2TM,SF,17,8,367,9.9,0.616,0.451,0.352,5.3,13,9.1,5.9,0.8,1.2,9.9,10.6,0.4,0.2,0.5,0.071,-2.4,-0.7,-3,-0.1,
98,Johnny Juzang,22,UTA,SG,20,5,372,9.6,0.62,0.7,0.127,2.1,8.5,5.3,8.4,0.5,0.5,10.1,14.5,0.4,0,0.4,0.047,-1.5,-2.2,-3.7,-0.2,
99,Aleksej Pokusevski,22,2TM,PF,28,0,405,12.7,0.525,0.455,0.339,4.6,20.4,12.3,12,1.8,3,12,17.2,0,0.4,0.4,0.05,-1.8,-0.1,-1.9,0,
100,Tari Eason,22,HOU,PF,22,0,480,17.1,0.528,0.265,0.175,10.2,24.2,17.1,8.3,3.1,3.6,8.9,19.8,0.3,1,1.3,0.125,-0.4,2,1.6,0.4,
101,Mark Williams,22,CHO,C,19,19,508,22.5,0.675,0,0.424,16.3,24.6,20.4,6.8,1.6,3.7,8.7,17.1,1.6,0.5,2.1,0.198,1.6,-0.8,0.8,0.3,
102,Andre Jackson Jr.,22,MIL,SG,57,8,572,8.5,0.596,0.46,0.11,8.4,13.1,10.8,10.8,1.3,0.9,21.1,10,0.5,0.5,1,0.081,-3.6,0,-3.6,-0.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Dariq Whitehead,19,BRK,SF,2,0,24,4.9,0.255,0.6,0.4,0,18.8,9.1,15.6,0,3.8,0,10.6,0,0,0,-0.03,-5.5,-2.4,-7.9,0,
