,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
29,Ben Sheppard,IND,22,57,32,25,14.3,4.4,1.6,4,39.3,0.9,2.7,31.4,0.4,0.5,88.5,0.3,1.3,1.6,0.9,0.3,0.6,0,1.5,9.3,0,0,1.2
30,Mouhamed Gueye,ATL,21,6,2,4,12.1,4,1.3,3.8,34.8,0.5,1.5,33.3,0.8,1,83.3,1.7,2,3.7,0.7,0.2,0.8,0.7,2.2,13.7,0,0,-6.8
31,Rayan Rupert,POR,20,39,7,32,16.2,4,1.4,4.1,33.5,0.7,2,35.9,0.5,0.6,76,0.6,1.7,2.4,1.6,0.8,0.3,0.1,1.4,9.5,0,0,-3.2
32,Sidy Cissoko,SAS,20,12,5,7,11.7,3.8,1.3,2.8,48.5,0.1,1,8.3,1,1.3,80,0.7,1.2,1.8,0.8,0.3,0.6,0.3,1.5,9.5,0,0,2.1
33,Jarace Walker,IND,20,33,18,15,10.3,3.6,1.4,3.3,40.9,0.7,1.7,40,0.2,0.3,88.9,0.4,1.5,1.9,1.2,0.5,0.5,0.3,0.9,9.6,0,0,0.6
34,Olivier-Maxence Prosper,DAL,21,40,24,16,8.4,3,1,2.6,38.5,0.3,1.1,28.9,0.7,1,68.3,0.6,1.4,2,0.6,0.2,0.2,0.1,0.5,6.8,0,0,-2.2
35,Emoni Bates,CLE,20,15,8,7,8.9,2.7,1,3.3,30.6,0.7,2.2,30.3,0.1,0.3,25,0.1,0.9,0.9,0.7,0.5,0.1,0.1,0.3,4.9,0,0,-5.6
36,Amari Bailey,CHA,20,10,1,9,6.5,2.3,0.8,2.4,33.3,0.1,0.8,12.5,0.6,0.7,85.7,0.6,0.3,0.9,0.7,0.4,0.3,0,0.2,4.9,0,0,0.5
37,Julian Phillips,CHI,20,40,20,20,8.1,2.2,0.8,1.9,41.6,0.3,1,31.6,0.3,0.5,68.4,0.3,0.6,0.9,0.3,0.3,0.2,0.2,1,4.6,0,0,-0.1
38,Andre Jackson Jr.,MIL,22,57,33,24,10,2.2,0.9,1.8,50,0.3,0.8,37,0.1,0.2,72.7,0.8,1.2,2,0.9,0.5,0.3,0.1,1.6,6.6,1,0,-1.6
39,Colby Jones,SAC,22,30,15,15,6.4,2.1,0.9,2.4,39.4,0.1,0.7,9.1,0.2,0.4,54.5,0.6,0.8,1.3,0.7,0.3,0.2,0.2,1,5.6,0,0,0.3
40,Kobe Brown,LAC,24,44,27,17,9,2,0.8,2,41.1,0.3,1.1,29.2,0,0,50,0.5,1,1.4,0.6,0.2,0.3,0.1,1.1,5.6,0,0,-2.1
41,Isaiah Wong,IND,23,1,1,0,4.3,2,1,3,33.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-5
42,Leonard Miller,MIN,20,17,13,4,3.1,1.7,0.8,1.2,65,0.1,0.3,40,0.1,0.1,50,0.3,0.9,1.2,0.5,0.1,0.1,0.1,0.3,4.3,0,0,0.5
43,Jordan Walsh,BOS,20,9,9,0,9.3,1.7,0.7,1.7,40,0.2,1,22.2,0.1,0.2,50,0.6,1.7,2.2,0.6,0.3,0.6,0.1,1.2,6.8,0,0,5.2
44,Jordan Miller,LAC,24,8,5,3,3.5,1.6,0.6,1.1,55.6,0.1,0.3,50,0.3,0.3,100,0.4,0.3,0.6,0,0.1,0,0,0.3,2.3,0,0,-1.6
45,Jalen Hood-Schifino,LAL,21,21,10,11,5.2,1.6,0.5,2.1,22.2,0.1,0.7,13.3,0.6,1,60,0.1,0.5,0.6,0.4,0.4,0.1,0.1,0.6,3.2,0,0,-2.6
46,Jett Howard,ORL,20,18,9,9,3.7,1.6,0.6,1.7,33.3,0.4,1.4,28,0.1,0.2,50,0.1,0.3,0.4,0.3,0.2,0.1,0.1,0.2,3.1,0,0,0.2
47,Jalen Pickett,DEN,24,27,20,7,4.5,1.6,0.6,1.3,42.9,0.3,0.9,36,0.1,0.1,75,0,0.5,0.5,0.8,0.3,0.1,0,0.5,3.5,0,0,0
47,Seth Lundy,ATL,24,9,2,7,5.8,1.6,0.4,1.9,23.5,0.3,1.4,23.1,0.3,0.4,75,0.1,0.7,0.8,0,0.1,0,0,0.7,2.4,0,0,-1.4
49,Dariq Whitehead,BKN,19,2,1,1,12,1.5,0.5,2.5,20,0,1.5,0,0.5,1,50,0,2,2,1.5,0,0,0.5,0,7.7,0,0,-11
50,Chris Livingston,MIL,20,21,13,8,4.3,1.2,0.5,1,50,0,0.2,20,0.1,0.2,75,0.1,0.9,1,0.2,0.2,0.1,0,0.7,2.8,0,0,-1.3
51,Keyontae Johnson,OKC,24,9,7,2,7.4,1.2,0.6,1.8,31.3,0.1,0.3,33.3,0,0,0,0.4,0.7,1.1,0.4,0.4,0.1,0,0.6,3.1,0,0,-0.8
52,Hunter Tyson,DEN,24,18,14,4,2.7,1.1,0.4,1.1,40,0.2,0.8,28.6,0,0,0,0.1,0.4,0.5,0.1,0.1,0.1,0,0.6,1.9,0,0,0.4
53,Jalen Slawson,SAC,24,12,8,4,3.1,0.7,0.3,0.5,66.7,0,0.2,0,0,0,0,0.1,0.5,0.6,0.2,0.2,0.1,0.1,0.7,2,0,0,-0.5
54,Maxwell Lewis,LAL,21,34,18,16,3,0.3,0.1,0.6,19,0,0.3,11.1,0.1,0.1,66.7,0.1,0.1,0.1,0.2,0.3,0.1,0,0.1,0.7,0,0,-2.1
